Link,Title,Location,Salary,Summary
https://kr.indeed.com/viewjob?jk=30e85b958156c552,머신러닝/빅데이터 플랫폼 S/W 연구개발 부문,Success Korea 서울 선릉역,,"경험자 - 수학, 통계, 컴퓨터공학, 산업공학 전공 우대사항 - Docker, Kubernetes 유경험자 - Hadoop, Spark 유경험자... 산업공학 전공 우대사항 - Docker, Kubernetes 유경험자..."
https://kr.indeed.com/viewjob?jk=71ecd14b3431ac40,Cloud Platfrorm 개발 및 운영,Success Korea 성남 분당구,,있으신 분 [우대조건] -고도한 자동화 툴 개발 경험이 있으신 분 - Docker경험이 있으신 분 -Mesos 경험이 있으신 분 -Kubernetes... 동화 툴 개발 경험이 있으신 분 - Docker경험이 있으신 분 -Mesos...
https://kr.indeed.com/viewjob?jk=902ac0063e169447,[AI/NLP] 자연어처리 서비스 및 ML 플랫폼 서버 개발자 모집,엔씨소프트 2.7 성남 판교역,,Framework 혹은 Library(Tensorflow 등)를 이용한 개발 및 환경 구성 경험이 있으신 분 - Docker 또는 Kubernates 기반 서비스 개발 경험이 있으신 분 - MSA(Micro Service...
https://kr.indeed.com/viewjob?jk=36a46caaa8576b94,E-Coin 플랫폼 개발(대리~과장급),Success Korea 서울 이수역,,"angular등 프론트엔드 프레임웍 사용경험 6. Node.js, docker로 개발 경험이 있으신 분 7. 빌드/테스트/배포 자동화 경험 8... 사용경험 6. Node.js, docker로 개발 경험이 있으신 분 7..."
https://kr.indeed.com/viewjob?jk=30da59c8e0f0647a,DevOps Engineer,Success Korea 서울,,분 - JavaScript 기반 CI 환경 구축 경험이 있는 분 - Docker 기반 컨테이너 기반 기술 경험이 있는 분 - 대용량 트래픽 서비스... 환경 구축 경험이 있는 분 - Docker 기반 컨테이너 기반 기술 경험이...
https://kr.indeed.com/viewjob?jk=dc997aad6d8d1a26,"Senior, Software Engineer (Product Engin...",Coupang 2.9 서울,,"WebFlux, React JS, Vue JS, CSS3, HTML5, JPA, Elastic stack, Docker, Kafka, Redis, MySQL, Cassandra, native mobile development..."
https://kr.indeed.com/viewjob?jk=6a5691e710c7582f,Senior Cloud Reliability Engineer - HANA...,SAP 4.3 서울,,"security, backup, session, transaction, etc Experience with Docker, K8S, Git/Gerrit, and some development languages..."
https://kr.indeed.com/viewjob?jk=9e374eae7e16a88f,[XTRM] Senior Server Programmer,PUBG 서울,,"개발 경험 - Linux 혹은 Windows 시스템 프로그래밍 경험 - No-SQL 스택 활용 경험 - Docker, Kubernetes 활용 경험 - 글로벌 서비스 경험 [업무 경력] - 경력 7년 이상 [고용 형태..."
https://kr.indeed.com/viewjob?jk=1947d9fed6bf4e36,백엔드 개발자(리드),Success Korea 서울 역삼역,,"GraphQL, gRPC ? MySQL, MongoDB ? Git, GitHub ? GCP, AWS ? Docker [자격요건] ? 경력 5년 이상(Node.js 경력 3년 이상) ? Node.js를 이용하여 RESTful..."
https://kr.indeed.com/viewjob?jk=18848cd6c6f44fbe,S/W Engineering Efficiency,Success Korea 성남 분당구,,분 - 확장가능한 서비스 모니터링 인프라 개발 경험을 가지신 분 - Docker 인프라 구축 및 운영 경험을 가지신 분 - 전문적인 업무가 가능한... 인프라 개발 경험을 가지신 분 - Docker 인프라 구축 및 운영 경험을...
